"What does `$dbname` represent?", "`$dbname` specifies the name of the database being used.", "`$dbname = 'ShirtShack'; // change to your db name`"
"How do I connect to a different database?", "Change the value of `$dbname` to the name of the desired database.", "`$dbname = 'NewDatabase';`"
"What is `$conn`?", "`$conn` is the variable that holds the database connection object.", "`$conn = new mysqli($servername, $username, $password, $dbname);`"
"What does `new mysqli` do?", "`new mysqli` creates a new connection to a MySQL database.", "`$conn = new mysqli($servername, $username, $password, $dbname);`"
"How is the database connection verified?", "Using `$conn->connect_error` to check for errors.", "`if ($conn->connect_error) { die('Connection failed: ' . $conn->connect_error); }`"
"What happens if the connection fails?", "The script terminates with a message using `die()`.", "`if ($conn->connect_error) { die('Connection failed: ' . $conn->connect_error); }`"
"Can I use a PostgreSQL database here?", "You'd need to replace `new mysqli` with `pg_connect` for PostgreSQL.", "Example: `$conn = pg_connect($conn_string);`"
"What is the default port for MySQL?", "MySQL typically uses port 3306.", "Default behavior is implied in `$conn = new mysqli($servername, $username, $password, $dbname);`"
"Where should I store sensitive database credentials?", "Store them in a secure file outside the web root.", "For example: `/secure/config/db_credentials.php`"
"How do I know the connection is successful?", "No error message will appear if the connection is successful.", "`if ($conn->connect_error) { die('Connection failed: ' . $conn->connect_error); }`"
"Why is it necessary to check `$conn->connect_error`?", "To ensure the database connection is established without issues.", "`if ($conn->connect_error) { die('Connection failed: ' . $conn->connect_error); }`"
"What does `die()` do?", "`die()` terminates the script and outputs an error message.", "`die('Connection failed: ' . $conn->connect_error);`"
"How can I customize the error message in `die()`?", "Modify the string inside `die()`.", "`die('Custom error message.');`"
"Is `$servername` always `localhost`?", "Not always. Use the server's IP or hostname for remote connections.", "`$servername = 'remote_host';`"
"How do I connect to a remote MySQL server?", "Set `$servername` to the remote server's IP or hostname.", "`$servername = '192.168.1.10';`"
"What is the default MySQL user for XAMPP?", "The default user is `root`.", "`$username = 'root'; // change for your XAMPP/MAMPP configuration`"
"Can I use an empty password for MySQL?", "Yes, but it's not secure for production environments.", "`$password = ''; // default for XAMPP`"
"How can I test the connection script?", "Run the PHP file in a browser or CLI and look for errors.", "For example: `php dbaccess.php`"
"Why is `$conn` needed?", "`$conn` is the object used to execute SQL queries.", "`$conn = new mysqli($servername, $username, $password, $dbname);`"
"Can `$conn` be reused in other scripts?", "Yes, include this file where needed.", "Example: `include 'dbaccess.php';`"
"How do I close the database connection?", "Use `$conn->close();` to close the connection.", "`$conn->close();`"
"Is `$conn->close()` necessary?", "It's good practice to close the connection to free resources.", "`$conn->close();`"
"What does `mysqli` stand for?", "`mysqli` stands for MySQL Improved, offering better functionality.", "`$conn = new mysqli($servername, $username, $password, $dbname);`"
"Can I use this script with MariaDB?", "Yes, MariaDB is compatible with `mysqli`.", "`$conn = new mysqli($servername, $username, $password, $dbname);`"
"How do I use environment variables for credentials?", "Replace hardcoded values with `getenv()`.", "`$servername = getenv('DB_SERVER');`"
"Why should I avoid hardcoding credentials?", "For security and easier configuration changes.", "Example: `getenv('DB_PASSWORD')`"
"What is the purpose of `dbaccess.php`?", "It sets up the database connection.", "Complete file content."
"Where is the database server hostname set?", "In the `$servername` variable.", "`$servername = 'localhost';`"
"What should I do if the database name changes?", "Update the `$dbname` variable.", "`$dbname = 'NewDB';`"
"How is `$conn` initialized?", "`$conn` is initialized using `new mysqli()`.", "`$conn = new mysqli($servername, $username, $password, $dbname);`"
"What is the default username for MySQL on MAMP?", "The default username is `root`.", "`$username = 'root';`"
"Can I use different database users for different connections?", "Yes, assign different values to `$username` and `$password`.", "`$username = 'user1'; $password = 'pass1';`"
"How can I change the database host?", "Modify the `$servername` variable.", "`$servername = 'new_host';`"
"Can I set `$servername` dynamically?", "Yes, use a configuration file or environment variables.", "`$servername = getenv('DB_SERVER');`"
"Why use `$conn->close()` instead of letting PHP handle it?", "Explicitly closing connections is a better practice for resource management.", "`$conn->close();`"
"Is `$conn->connect_error` sufficient for error handling?", "For detailed errors, log them instead of just terminating the script.", "`error_log($conn->connect_error);`"
"Can I use this script for SQLite?", "No, replace `mysqli` with SQLite-specific functions.", "Example: `$db = new SQLite3('my_database.db');`"
"How can I debug a failed connection?", "Check `$conn->connect_error` and server credentials.", "`if ($conn->connect_error) { error_log($conn->connect_error); }`"
"What does `new mysqli` return?", "It returns a connection object or triggers an error.", "`$conn = new mysqli($servername, $username, $password, $dbname);`"
"How to make `$conn` global?", "Define `$conn` as a global variable.", "`global $conn;`"
"What does `die()` in PHP do?", "Stops script execution and prints a message.", "`die('Connection error');`"
"Can I encrypt the database password?", "Yes, store an encrypted password and decrypt it during runtime.", "`$password = decrypt(getenv('DB_PASS_ENCRYPTED'));`"
"Why use `$conn->query()`?", "`$conn->query()` executes SQL queries.", "`$result = $conn->query('SELECT * FROM users');`"
"How to handle failed queries?", "Check the result of `$conn->query()`.", "`if (!$result) { die('Query failed: ' . $conn->error); }`"
"Can I use prepared statements here?", "Yes, use `$conn->prepare()` for prepared statements.", "`$stmt = $conn->prepare('SELECT * FROM users WHERE id=?');`"
"What is SQL injection?", "A hacking technique to exploit unsecured SQL queries.", "`$stmt = $conn->prepare('SELECT * FROM users WHERE id=?');`"
"How can I prevent SQL injection?", "Use prepared statements and parameterized queries.", "`$stmt->bind_param('i', $user_id);`"
"How do I check if `$conn` is open?", "Verify if `$conn` is not `null` or check for errors.", "`if ($conn->connect_error) { echo 'Closed'; }`"
"Is `$conn` reusable across multiple files?", "Yes, include `dbaccess.php` wherever needed.", "`include 'dbaccess.php';`"
"Can I change `$conn` to use PDO?", "Yes, replace `mysqli` with PDO.", "`$conn = new PDO('mysql:host=localhost;dbname=test', $username, $password);`"
"What does `$conn->connect_errno` return?", "It returns the error code for the last connection error.", "`if ($conn->connect_errno) { echo $conn->connect_errno; }`"
"Why is `$password` a string?", "Because it represents text data, even if it's empty.", "`$password = '';`"
"Can `$conn` handle multiple queries?", "Yes, but use `$conn->multi_query()` for multiple statements.", "`$conn->multi_query('QUERY1; QUERY2;');`"
"How do I set a custom port for MySQL?", "Add the port number to `new mysqli()`.", "`$conn = new mysqli($servername, $username, $password, $dbname, 3307);`"
"Where to place `dbaccess.php` in my project?", "Place it in a secure directory, preferably outside the web root.", "`/secure/config/dbaccess.php`"
"Is `$dbname` case-sensitive?", "Yes, database names are typically case-sensitive.", "`$dbname = 'MyDatabase';`"
"Can I use `$servername` for PostgreSQL?", "No, use PostgreSQL-specific functions.", "`$conn = pg_connect($conn_string);`"
"How to handle `$conn->error`?", "Log it for debugging and show a user-friendly message.", "`error_log($conn->error);`"
"Why store database settings in variables?", "To reuse and update them easily across the script.", "`$servername, $username, $password`"
"What is the purpose of `$stmt->bind_param()`?", "To securely pass values to prepared statements.", "`$stmt->bind_param('s', $value);`"
"Can I test database connectivity in CLI?", "Yes, run the script using `php` in CLI.", "`php dbaccess.php`"
"How to ensure `$conn` uses UTF-8?", "Set the character set after connecting.", "`$conn->set_charset('utf8');`"
"What does `$conn->set_charset('utf8')` do?", "It ensures all queries use the UTF-8 character set.", "`$conn->set_charset('utf8');`"
"Is `$conn` thread-safe?", "No, create separate connections for multi-threaded environments.", "`$conn = new mysqli(...);`"
"Why check `$conn` for errors?", "To ensure the application handles connection issues gracefully.", "`if ($conn->connect_error) { die(...); }`"
"How can I secure database credentials?", "Use environment variables and encrypt sensitive data.", "`$password = getenv('DB_PASSWORD');`"
"Can I use `$conn` in an API?", "Yes, include `dbaccess.php` in your API files.", "`include 'dbaccess.php';`"
"What is the benefit of `$stmt->prepare()`?", "It prevents SQL injection and optimizes query execution.", "`$stmt = $conn->prepare(...);`"
"Why is `mysqli` better than `mysql`?", "`mysqli` supports prepared statements and object-oriented syntax.", "`$conn = new mysqli(...);`"
"How do I reconnect if `$conn` fails?", "Retry with new credentials or after a delay.", "`$conn = new mysqli(...);`"
"Can `$conn` be null?", "Yes, if the connection fails or is explicitly set to `null`.", "`$conn = null;`"
"Is it safe to hardcode `$dbname`?", "It's fine for development but use environment variables for production.", "`$dbname = getenv('DB_NAME');`"
"What does `$conn->select_db()` do?", "It changes the active database for the connection.", "`$conn->select_db('new_database');`"
"How do I know `$conn` is ready?", "Check for a successful connection without errors.", "`if (!$conn->connect_error) { echo 'Ready'; }`"
"Can I connect to multiple databases?", "Yes, create multiple `$conn` objects with different configurations.", "`$conn2 = new mysqli(...);`"
"What is a persistent connection?", "A connection that stays open for multiple requests.", "`mysqli_connect('host', 'user', 'pass', 'db', 'port', 'socket');`"
"Why use `$stmt->execute()`?", "To execute the prepared SQL statement.", "`$stmt->execute();`"
"What happens if `$dbname` doesn't exist?", "The connection will fail with an error.", "`$dbname = 'NonExistentDB';`"
"How to avoid exposing `$password` in code?", "Store it in a secure location or use a configuration file.", "`$password = getenv('DB_PASS');`"
"Can `$conn` handle large datasets?", "Yes, but optimize your queries and fetch results in chunks.", "`$result = $conn->query('SELECT * FROM large_table LIMIT 100');`"
"What is the purpose of `getCoupons()` function?","It retrieves all coupon data from the database.","public function getCoupons() { $result = $this->dh->queryAllCoupons(); ... }"
"How does the system respond if no coupons are found?","It returns an error message stating 'Error retrieving coupons data'.","return array('status' => 'error', 'message' => 'Error retrieving coupons data');"
"What is the role of the `$dh` variable in the `CouponsManager` class?","It is an instance of `DataHandler_Coupons` used for database operations.","private $dh; function __construct() { $this->dh = new DataHandler_Coupons(); }"
"How are coupon objects created in `createCoupon()`?","They are created using the `Coupon` class with properties like code, discount amount, discount type, and expiration date.","$newCoupon = new Coupon(null, $couponData['code'], $couponData['discountAmount'], $couponData['discountType'], $couponData['expirationDate']);"
"Where is the database handler initialized in `CouponsManager`?","In the constructor of the `CouponsManager` class.","function __construct() { $this->dh = new DataHandler_Coupons(); }"
"What happens if the `createCoupon()` method fails?","An error message 'Error creating coupon' is returned.","return array('status' => 'error', 'message' => 'Error creating coupon');"
"How is the validity of a coupon checked?","By comparing its expiration date with the current date.","if ($expirationDate >= $currentDate) { return array('status' => 'success', 'isValid' => true); }"
"What is the format of the response if a coupon is expired?","It returns a success status with a message 'Coupon expired' and `isValid` set to false.","return array('status' => 'success', 'isValid' => false, 'message' => 'Coupon expired');"
"What is logged when a voucher code is received?","The voucher code and the query result from the database are logged.","error_log('Received voucher code in CouponsManager: ' . $voucherCode); error_log('Result from DataHandler: ' . json_encode($voucherDetails));"
"How is the expiration date checked in `verifyVoucherCode()`?","The expiration date from the database is compared with today's date.","if ($expirationDate < $today) { return array('status' => 'error', 'message' => 'Voucher expired'); }"
"What type of data does `getCoupons()` return on success?","An array containing the status, message, and coupon data.","return array('status' => 'success', 'message' => 'Coupons data retrieved successfully', 'data' => $result);"
"What does `verifyVoucherCode()` return if the voucher is valid?","The discount amount, discount type, and expiration date.","return array('status' => 'success', 'discountAmount' => $voucherDetails['discountAmount'], 'discountType' => $voucherDetails['discountType'], 'expirationDate' => $voucherDetails['expirationDate']);"
"Where is `DataHandler_Coupons` used in the file?","It is instantiated and assigned to `$dh` in the `CouponsManager` class.","private $dh; function __construct() { $this->dh = new DataHandler_Coupons(); }"
"What does `queryCouponById()` do in `checkCouponValidity()`?","It retrieves coupon details from the database by its ID.","$couponDetails = $this->dh->queryCouponById($couponId);"
"Why is `$newCoupon` created with `null` for ID?","The ID is auto-generated by the database.","$newCoupon = new Coupon(null, $couponData['code'], ...);"
"How is success communicated in `createCoupon()`?","A message 'Coupon created successfully' is returned.","return array('status' => 'success', 'message' => 'Coupon created successfully');"
"What happens if a coupon ID does not exist?","An error message 'Coupon not found' is returned.","return array('status' => 'error', 'isValid' => false, 'message' => 'Coupon not found');"
"How does `CouponsManager` handle errors during coupon retrieval?","It returns an error response with a message 'Error retrieving coupons data'.","return array('status' => 'error', 'message' => 'Error retrieving coupons data');"
"What is returned if the voucher code is not found in `verifyVoucherCode()`?","An error message 'Voucher not found' is returned.","return array('status' => 'error', 'message' => 'Voucher not found');"
"What is the significance of `DateTime` in `checkCouponValidity()`?","It is used to compare the current date with the coupon's expiration date.","$currentDate = new DateTime(); $expirationDate = new DateTime($couponDetails['expirationDate']);"
"What does `CouponsManager` return when `queryAllCoupons()` is successful?","A success status with the retrieved coupons data.","return array('status' => 'success', 'message' => 'Coupons data retrieved successfully', 'data' => $result);"
"What is the purpose of `queryCouponById()` in `checkCouponValidity()`?","To retrieve coupon details by its ID for validation.","$couponDetails = $this->dh->queryCouponById($couponId);"
"What is the response when a voucher code is invalid?","An error message 'Invalid voucher code' is returned.","return array('status' => 'error', 'message' => 'Invalid voucher code');"
"What is the role of `Coupon` class in `createCoupon()`?","It is used to create a new coupon object with specific properties.","$newCoupon = new Coupon(null, $couponData['code'], $couponData['discountAmount'], $couponData['discountType'], $couponData['expirationDate']);"
"What is the purpose of `verifyVoucherCode()` function?","It checks the validity of a voucher code and returns details if valid.","public function verifyVoucherCode($voucherCode) { ... }"
"What is the significance of `queryAllCoupons()` in `getCoupons()`?","It retrieves all coupon data from the database.","public function getCoupons() { $result = $this->dh->queryAllCoupons(); ... }"
"What is the purpose of the `CouponsManager` class?","It manages coupon-related operations such as retrieval, creation, and validation.","class CouponsManager { ... }"
"How is a new coupon created in the system?","By calling the `createCoupon()` method with the necessary coupon data.","public function createCoupon($couponData) { ... }"
"What does the `getCoupons()` method return on failure?","An error message 'Error retrieving coupons data'.","return array('status' => 'error', 'message' => 'Error retrieving coupons data');"
"How does `CouponsManager` handle successful coupon creation?","It returns a success message 'Coupon created successfully'.","return array('status' => 'success', 'message' => 'Coupon created successfully');"
"What is the role of `queryCouponById()` in `checkCouponValidity()`?","It retrieves coupon details from the database using the coupon ID.","$couponDetails = $this->dh->queryCouponById($couponId);"
"How is the expiration date of a coupon checked in `checkCouponValidity()`?","By comparing the expiration date with the current date.","if ($expirationDate >= $currentDate) { ... }"
"What happens if a coupon is expired in `checkCouponValidity()`?","A message 'Coupon expired' is returned with `isValid` set to false.","return array('status' => 'success', 'isValid' => false, 'message' => 'Coupon expired');"
"What is logged when a voucher code is processed in `verifyVoucherCode()`?","The received voucher code and the query result from the database.","error_log('Received voucher code in CouponsManager: ' . $voucherCode); error_log('Result from DataHandler: ' . json_encode($voucherDetails));"
"What does `verifyVoucherCode()` return if the voucher is expired?","An error message 'Voucher expired'.","return array('status' => 'error', 'message' => 'Voucher expired');"
"What is the response if `queryCouponByCode()` does not find a voucher?","An error message 'Voucher not found'.","return array('status' => 'error', 'message' => 'Voucher not found');"
"What is the purpose of the `CouponsManager` class?","It manages coupon-related operations such as retrieval, creation, and validation.","class CouponsManager { ... }"
"How is the database handler initialized in `CouponsManager`?","In the constructor of the `CouponsManager` class.","function __construct() { $this->dh = new DataHandler_Coupons(); }"
"What does the `getCoupons()` method return on success?","An array containing the status, message, and coupon data.","return array('status' => 'success', 'message' => 'Coupons data retrieved successfully', 'data' => $result);"
"What does the `getCoupons()` method return on failure?","An error message 'Error retrieving coupons data'.","return array('status' => 'error', 'message' => 'Error retrieving coupons data');"
"How is a new coupon created in the system?","By calling the `createCoupon()` method with the necessary coupon data.","public function createCoupon($couponData) { ... }"
"What happens if the `createCoupon()` method fails?","An error message 'Error creating coupon' is returned.","return array('status' => 'error', 'message' => 'Error creating coupon');"
"How does `CouponsManager` handle successful coupon creation?","It returns a success message 'Coupon created successfully'.","return array('status' => 'success', 'message' => 'Coupon created successfully');"
"What is the role of `queryCouponById()` in `checkCouponValidity()`?","It retrieves coupon details from the database using the coupon ID.","$couponDetails = $this->dh->queryCouponById($couponId);"
"How is the expiration date of a coupon checked in `checkCouponValidity()`?","By comparing the expiration date with the current date.","if ($expirationDate >= $currentDate) { ... }"
"What happens if a coupon is expired in `checkCouponValidity()`?","A message 'Coupon expired' is returned with `isValid` set to false.","return array('status' => 'success', 'isValid' => false, 'message' => 'Coupon expired');"
"What is logged when a voucher code is processed in `verifyVoucherCode()`?","The received voucher code and the query result from the database.","error_log('Received voucher code in CouponsManager: ' . $voucherCode); error_log('Result from DataHandler: ' . json_encode($voucherDetails));"
"What does `verifyVoucherCode()` return if the voucher is expired?","An error message 'Voucher expired'.","return array('status' => 'error', 'message' => 'Voucher expired');"
"What is the response if `queryCouponByCode()` does not find a voucher?","An error message 'Voucher not found'.","return array('status' => 'error', 'message' => 'Voucher not found');"
"What is the purpose of `verifyVoucherCode()` function?","It checks the validity of a voucher code and returns details if valid.","public function verifyVoucherCode($voucherCode) { ... }"
"What is the significance of `queryAllCoupons()` in `getCoupons()`?","It retrieves all coupon data from the database.","public function getCoupons() { $result = $this->dh->queryAllCoupons(); ... }"
"What is the role of the `$dh` variable in the `CouponsManager` class?","It is an instance of `DataHandler_Coupons` used for database operations.","private $dh; function __construct() { $this->dh = new DataHandler_Coupons(); }"
"What type of data does `getCoupons()` return on success?","An array containing the status, message, and coupon data.","return array('status' => 'success', 'message' => 'Coupons data retrieved successfully', 'data' => $result);"
"What is the format of the response if a coupon is expired?","It returns a success status with a message 'Coupon expired' and `isValid` set to false.","return array('status' => 'success', 'isValid' => false, 'message' => 'Coupon expired');"
"What is the response when a voucher code is invalid?","An error message 'Invalid voucher code' is returned.","return array('status' => 'error', 'message' => 'Invalid voucher code');"
"What is the significance of `DateTime` in `checkCouponValidity()`?","It is used to compare the current date with the coupon's expiration date.","$currentDate = new DateTime(); $expirationDate = new DateTime($couponDetails['expirationDate']);"
"What does `CouponsManager` return when `queryAllCoupons()` is successful?","A success status with the retrieved coupons data.","return array('status' => 'success', 'message' => 'Coupons data retrieved successfully', 'data' => $result);"
"What is the purpose of `queryCouponById()` in `checkCouponValidity()`?","To retrieve coupon details by its ID for validation.","$couponDetails = $this->dh->queryCouponById($couponId);"
"What is the response if `queryCouponById()` does not find a coupon?","An error message 'Coupon not found' is returned.","return array('status' => 'error', 'isValid' => false, 'message' => 'Coupon not found');"
"What is the role of `Coupon` class in `createCoupon()`?","It is used to create a new coupon object with specific properties.","$newCoupon = new Coupon(null, $couponData['code'], $couponData['discountAmount'], $couponData['discountType'], $couponData['expirationDate']);"
"Why is `$newCoupon` created with `null` for ID?","The ID is auto-generated by the database.","$newCoupon = new Coupon(null, $couponData['code'], ...);"
"How is success communicated in `createCoupon()`?","A message 'Coupon created successfully' is returned.","return array('status' => 'success', 'message' => 'Coupon created successfully');"
"What happens if a coupon ID does not exist?","An error message 'Coupon not found' is returned.","return array('status' => 'error', 'isValid' => false, 'message' => 'Coupon not found');"
"How does `CouponsManager` handle errors during coupon retrieval?","It returns an error response with a message 'Error retrieving coupons data'.","return array('status' => 'error', 'message' => 'Error retrieving coupons data');"
"What is returned if the voucher code is not found in `verifyVoucherCode()`?","An error message 'Voucher not found' is returned.","return array('status' => 'error', 'message' => 'Voucher not found');"
"What is the purpose of `queryCouponByCode()` in `verifyVoucherCode()`?","To retrieve voucher details from the database using the voucher code.","$voucherDetails = $this->dh->queryCouponByCode($voucherCode);"
"What is the response if a voucher code is valid?","The discount amount, discount type, and expiration date.","return array('status' => 'success', 'discountAmount' => $voucherDetails['discountAmount'], 'discountType' => $voucherDetails['discountType'], 'expirationDate' => $voucherDetails['expirationDate']);"
"What is the purpose of `createCoupon()` function?","To create a new coupon in the system with the provided data.","public function createCoupon($couponData) { ... }"
"What is the role of `DataHandler_Coupons` in `CouponsManager`?","It handles database operations related to coupons.","private $dh; function __construct() { $this->dh = new DataHandler_Coupons(); }"
"How is the `CouponsManager` class instantiated?","By calling its constructor which initializes the database handler.","$couponsManager = new CouponsManager();"
"What is the purpose of `queryAllCoupons()` function?","To retrieve all coupon data from the database.","public function getCoupons() { $result = $this->dh->queryAllCoupons(); ... }"
"What is the purpose of `queryCouponById()` function?","To retrieve coupon details from the database by its ID.","$couponDetails = $this->dh->queryCouponById($couponId);"
"What is the purpose of `queryCouponByCode()` function?","To retrieve voucher details from the database using the voucher code.","$voucherDetails = $this->dh->queryCouponByCode($voucherCode);"
"What is the purpose of `verifyVoucherCode()` function?","To check the validity of a voucher code and return details if valid.","public function verifyVoucherCode($voucherCode) { ... }"
"What is the purpose of `checkCouponValidity()` function?","To check if a coupon is valid based on its expiration date.","public function checkCouponValidity($couponId) { ... }"
"What is the purpose of `createCoupon()` function?","To create a new coupon in the system with the provided data.","public function createCoupon($couponData) { ... }"
"What is the purpose of `getCoupons()` function?","To retrieve all coupon data from the database.","public function getCoupons() { $result = $this->dh->queryAllCoupons(); ... }"
"What is the purpose of `CouponsManager` class?","To manage coupon-related operations such as retrieval, creation, and validation.","class CouponsManager { ... }"
"What is the purpose of `DataHandler_Coupons` class?","To handle database operations related to coupons.","class DataHandler_Coupons { ... }"
"What is the purpose of `queryAllCoupons()` function?","To retrieve all coupon data from the database.","public function getCoupons() { $result = $this->dh->queryAllCoupons(); ... }"
"What is the purpose of `queryCouponById()` function?","To retrieve coupon details from the database by its ID.","$couponDetails = $this->dh->queryCouponById($couponId);"
"What is the purpose of `queryCouponByCode()` function?","To retrieve voucher details from the database using the voucher code.","$voucherDetails = $this->dh->queryCouponByCode($voucherCode);"
"What is the purpose of `verifyVoucherCode()` function?","To check the validity of a voucher code and return details if valid.","public function verifyVoucherCode($voucherCode) { ... }"
"What is the purpose of `checkCouponValidity()` function?","To check if a coupon is valid based on its expiration date.","public function checkCouponValidity($couponId) { ... }"
"What is the purpose of `createCoupon()` function?","To create a new coupon in the system with the provided data.","public function createCoupon($couponData) { ... }"
"What is the purpose of `getCoupons()` function?","To retrieve all coupon data from the database.","public function getCoupons() { $result = $this->dh->queryAllCoupons(); ... }"
"What is the purpose of `CouponsManager` class?","To manage coupon-related operations such as retrieval, creation, and validation.","class CouponsManager { ... }"
"What is the purpose of `DataHandler_Coupons` class?","To handle database operations related to coupons.","class DataHandler_Coupons { ... }"
"What is the purpose of `queryAllCoupons()` function?","To retrieve all coupon data from the database.","public function getCoupons() { $result = $this->dh->queryAllCoupons(); ... }"
"What is the purpose of `queryCouponById()` function?","To retrieve coupon details from the database by its ID.","$couponDetails = $this->dh->queryCouponById($couponId);"
"What is the purpose of `queryCouponByCode()` function?","To retrieve voucher details from the database using the voucher code.","$voucherDetails = $this->dh->queryCouponByCode($voucherCode);"
"What is the purpose of `verifyVoucherCode()` function?","To check the validity of a voucher code and return details if valid.","public function verifyVoucherCode($voucherCode) { ... }"
"What is the purpose of `checkCouponValidity()` function?","To check if a coupon is valid based on its expiration date.","public function checkCouponValidity($couponId) { ... }"
"What is the purpose of `createCoupon()` function?","To create a new coupon in the system with the provided data.","public function createCoupon($couponData) { ... }"
"What is the purpose of `getCoupons()` function?","To retrieve all coupon data from the database.","public function getCoupons() { $result = $this->dh->queryAllCoupons(); ... }"
"What does the `getCoupons()` method return on success?","An array with status, message, and coupon data.","return array('status' => 'success', 'message' => 'Coupons data retrieved successfully', 'data' => $result);"
"How does the `getCoupons()` method handle errors?","It returns an error array with a status and message.","return array('status' => 'error', 'message' => 'Error retrieving coupons data');"
"What is the purpose of the `createCoupon()` method?","To create a new coupon using the provided data.","public function createCoupon($couponData) { ... }"
"How does `CouponsManager` handle coupon expiration in `checkCouponValidity()`?","It compares the current date with the coupon's expiration date.","if ($expirationDate >= $currentDate) { ... }"
"What does `queryCouponByCode()` do in `verifyVoucherCode()`?","It retrieves voucher details from the database using the voucher code.","$voucherDetails = $this->dh->queryCouponByCode($voucherCode);"
"How are new coupons constructed in `createCoupon()`?","By using the `Coupon` class and passing the necessary data.","$newCoupon = new Coupon(null, $couponData['code'], $couponData['discountAmount'], $couponData['discountType'], $couponData['expirationDate']);"
"What does the `checkCouponValidity()` method return for an expired coupon?","A response with `isValid` set to false and a message 'Coupon expired'.","return array('status' => 'success', 'isValid' => false, 'message' => 'Coupon expired');"
"How are invalid vouchers handled in `verifyVoucherCode()`?","It returns an error message stating 'Voucher not found'.","return array('status' => 'error', 'message' => 'Voucher not found');"
